"SCENARIO_NAME","SCENARIO_BARLEY_PRICE","SCENARIO_HOPS_PRICE","PRODUCT_ID","PRODUCT_DESCRIPTION","BEER_STYLE","RETAIL_PRICE","BASELINE_COGS","SCENARIO_COGS","COGS_INCREASE_PCT","BASELINE_MARGIN_PCT","SCENARIO_MARGIN_PCT","MARGIN_EROSION_PCT","PRICING_ACTION","RECOMMENDED_PRICE"
"Baseline",5.50,4.20,"BEER-001064","Demo Beer Product #64","BEER",35.27,24.42,24.42,0.0,30.8,30.8,0.0,"ABSORB",35.27
"Crisis (+50%)",8.25,6.30,"BEER-001064","Demo Beer Product #64","BEER",35.27,24.42,28.03,14.8,30.8,20.5,10.2,"PARTIAL_PASS_THROUGH",37.44
"Moderate (+15%)",6.33,4.83,"BEER-001064","Demo Beer Product #64","BEER",35.27,24.42,25.51,4.5,30.8,27.7,3.1,"ABSORB",35.27
"Extreme (+75%)",9.63,7.35,"BEER-001064","Demo Beer Product #64","BEER",35.27,24.42,29.84,22.2,30.8,15.4,15.4,"FULL_REPRICE",39.88
"High Stress (+30%)",7.15,5.46,"BEER-001064","Demo Beer Product #64","BEER",35.27,24.42,26.59,8.9,30.8,24.6,6.1,"PARTIAL_PASS_THROUGH",36.57
"Baseline",5.50,4.20,"BEER-001065","Demo Beer Product #65","BEER",37.05,23.67,23.67,0.0,36.1,36.1,0.0,"ABSORB",37.05
"Crisis (+50%)",8.25,6.30,"BEER-001065","Demo Beer Product #65","BEER",37.05,23.67,27.72,17.1,36.1,25.2,10.9,"PARTIAL_PASS_THROUGH",39.48
"Moderate (+15%)",6.33,4.83,"BEER-001065","Demo Beer Product #65","BEER",37.05,23.67,24.89,5.2,36.1,32.8,3.3,"ABSORB",37.05
"Extreme (+75%)",9.63,7.35,"BEER-001065","Demo Beer Product #65","BEER",37.05,23.67,29.75,25.7,36.1,19.7,16.4,"FULL_REPRICE",42.22
"High Stress (+30%)",7.15,5.46,"BEER-001065","Demo Beer Product #65","BEER",37.05,23.67,26.10,10.3,36.1,29.6,6.6,"PARTIAL_PASS_THROUGH",38.51
"Baseline",5.50,4.20,"BEER-001066","Demo Beer Product #66","BEER",37.73,21.85,21.85,0.0,42.1,42.1,0.0,"ABSORB",37.73
"Crisis (+50%)",8.25,6.30,"BEER-001066","Demo Beer Product #66","BEER",37.73,21.85,25.62,17.3,42.1,32.1,10.0,"PARTIAL_PASS_THROUGH",39.99
"Moderate (+15%)",6.33,4.83,"BEER-001066","Demo Beer Product #66","BEER",37.73,21.85,22.99,5.2,42.1,39.1,3.0,"ABSORB",37.73
"Extreme (+75%)",9.63,7.35,"BEER-001066","Demo Beer Product #66","BEER",37.73,21.85,27.51,25.9,42.1,27.1,15.0,"FULL_REPRICE",42.54
"High Stress (+30%)",7.15,5.46,"BEER-001066","Demo Beer Product #66","BEER",37.73,21.85,24.11,10.4,42.1,36.1,6.0,"PARTIAL_PASS_THROUGH",39.09
"Baseline",5.50,4.20,"BEER-001067","Demo Beer Product #67","BEER",31.84,21.68,21.68,0.0,31.9,31.9,0.0,"ABSORB",31.84
"Crisis (+50%)",8.25,6.30,"BEER-001067","Demo Beer Product #67","BEER",31.84,21.68,25.27,16.5,31.9,20.6,11.3,"PARTIAL_PASS_THROUGH",33.99
"Moderate (+15%)",6.33,4.83,"BEER-001067","Demo Beer Product #67","BEER",31.84,21.68,22.76,5.0,31.9,28.5,3.4,"ABSORB",31.84
"Extreme (+75%)",9.63,7.35,"BEER-001067","Demo Beer Product #67","BEER",31.84,21.68,27.07,24.8,31.9,15.0,16.9,"FULL_REPRICE",36.42
"High Stress (+30%)",7.15,5.46,"BEER-001067","Demo Beer Product #67","BEER",31.84,21.68,23.83,9.9,31.9,25.1,6.8,"PARTIAL_PASS_THROUGH",33.13
"Baseline",5.50,4.20,"BEER-001068","Demo Beer Product #68","BEER",32.74,24.19,24.19,0.0,26.1,26.1,0.0,"ABSORB",32.74
"Crisis (+50%)",8.25,6.30,"BEER-001068","Demo Beer Product #68","BEER",32.74,24.19,27.61,14.1,26.1,15.7,10.4,"PARTIAL_PASS_THROUGH",34.79
"Moderate (+15%)",6.33,4.83,"BEER-001068","Demo Beer Product #68","BEER",32.74,24.19,25.22,4.3,26.1,23.0,3.1,"ABSORB",32.74
"Extreme (+75%)",9.63,7.35,"BEER-001068","Demo Beer Product #68","BEER",32.74,24.19,29.32,21.2,26.1,10.4,15.7,"FULL_REPRICE",37.10
"High Stress (+30%)",7.15,5.46,"BEER-001068","Demo Beer Product #68","BEER",32.74,24.19,26.24,8.5,26.1,19.8,6.3,"PARTIAL_PASS_THROUGH",33.97
"Baseline",5.50,4.20,"BEER-001069","Demo Beer Product #69","BEER",35.12,24.88,24.88,0.0,29.2,29.2,0.0,"ABSORB",35.12
"Crisis (+50%)",8.25,6.30,"BEER-001069","Demo Beer Product #69","BEER",35.12,24.88,28.67,15.2,29.2,18.4,10.8,"PARTIAL_PASS_THROUGH",37.39
"Moderate (+15%)",6.33,4.83,"BEER-001069","Demo Beer Product #69","BEER",35.12,24.88,26.02,4.6,29.2,25.9,3.2,"ABSORB",35.12
"Extreme (+75%)",9.63,7.35,"BEER-001069","Demo Beer Product #69","BEER",35.12,24.88,30.56,22.8,29.2,13.0,16.2,"FULL_REPRICE",39.95
"High Stress (+30%)",7.15,5.46,"BEER-001069","Demo Beer Product #69","BEER",35.12,24.88,27.15,9.1,29.2,22.7,6.5,"PARTIAL_PASS_THROUGH",36.48
"Baseline",5.50,4.20,"BEER-001070","Demo Beer Product #70","BEER",34.35,22.79,22.79,0.0,33.7,33.7,0.0,"ABSORB",34.35
"Crisis (+50%)",8.25,6.30,"BEER-001070","Demo Beer Product #70","BEER",34.35,22.79,26.08,14.5,33.7,24.1,9.6,"PARTIAL_PASS_THROUGH",36.33
"Moderate (+15%)",6.33,4.83,"BEER-001070","Demo Beer Product #70","BEER",34.35,22.79,23.78,4.4,33.7,30.8,2.9,"ABSORB",34.35
"Extreme (+75%)",9.63,7.35,"BEER-001070","Demo Beer Product #70","BEER",34.35,22.79,27.73,21.7,33.7,19.3,14.4,"FULL_REPRICE",38.55
"High Stress (+30%)",7.15,5.46,"BEER-001070","Demo Beer Product #70","BEER",34.35,22.79,24.76,8.7,33.7,27.9,5.8,"PARTIAL_PASS_THROUGH",35.54
"Baseline",5.50,4.20,"BEER-001071","Demo Beer Product #71","BEER",35.41,22.81,22.81,0.0,35.6,35.6,0.0,"ABSORB",35.41
"Crisis (+50%)",8.25,6.30,"BEER-001071","Demo Beer Product #71","BEER",35.41,22.81,26.36,15.6,35.6,25.6,10.0,"PARTIAL_PASS_THROUGH",37.54
"Moderate (+15%)",6.33,4.83,"BEER-001071","Demo Beer Product #71","BEER",35.41,22.81,23.88,4.7,35.6,32.6,3.0,"ABSORB",35.41
"Extreme (+75%)",9.63,7.35,"BEER-001071","Demo Beer Product #71","BEER",35.41,22.81,28.14,23.4,35.6,20.5,15.1,"FULL_REPRICE",39.94
"High Stress (+30%)",7.15,5.46,"BEER-001071","Demo Beer Product #71","BEER",35.41,22.81,24.94,9.3,35.6,29.6,6.0,"PARTIAL_PASS_THROUGH",36.69
"Baseline",5.50,4.20,"BEER-001072","Demo Beer Product #72","BEER",36.59,23.92,23.92,0.0,34.6,34.6,0.0,"ABSORB",36.59
"Crisis (+50%)",8.25,6.30,"BEER-001072","Demo Beer Product #72","BEER",36.59,23.92,28.12,17.6,34.6,23.1,11.5,"PARTIAL_PASS_THROUGH",39.11
"Moderate (+15%)",6.33,4.83,"BEER-001072","Demo Beer Product #72","BEER",36.59,23.92,25.19,5.3,34.6,31.2,3.5,"ABSORB",36.59
"Extreme (+75%)",9.63,7.35,"BEER-001072","Demo Beer Product #72","BEER",36.59,23.92,30.23,26.4,34.6,17.4,17.2,"FULL_REPRICE",41.95
"High Stress (+30%)",7.15,5.46,"BEER-001072","Demo Beer Product #72","BEER",36.59,23.92,26.44,10.5,34.6,27.7,6.9,"PARTIAL_PASS_THROUGH",38.10
"Baseline",5.50,4.20,"BEER-001073","Demo Beer Product #73","BEER",33.28,22.27,22.27,0.0,33.1,33.1,0.0,"ABSORB",33.28
"Crisis (+50%)",8.25,6.30,"BEER-001073","Demo Beer Product #73","BEER",33.28,22.27,26.29,18.1,33.1,21.0,12.1,"FULL_REPRICE",36.70
"Moderate (+15%)",6.33,4.83,"BEER-001073","Demo Beer Product #73","BEER",33.28,22.27,23.48,5.4,33.1,29.5,3.6,"ABSORB",33.28
"Extreme (+75%)",9.63,7.35,"BEER-001073","Demo Beer Product #73","BEER",33.28,22.27,28.31,27.2,33.1,14.9,18.2,"FULL_REPRICE",38.42
"High Stress (+30%)",7.15,5.46,"BEER-001073","Demo Beer Product #73","BEER",33.28,22.27,24.68,10.9,33.1,25.8,7.3,"PARTIAL_PASS_THROUGH",34.73
"Baseline",5.50,4.20,"BEER-001074","Demo Beer Product #74","BEER",37.71,23.42,23.42,0.0,37.9,37.9,0.0,"ABSORB",37.71
"Crisis (+50%)",8.25,6.30,"BEER-001074","Demo Beer Product #74","BEER",37.71,23.42,26.67,13.9,37.9,29.3,8.6,"PARTIAL_PASS_THROUGH",39.66
"Moderate (+15%)",6.33,4.83,"BEER-001074","Demo Beer Product #74","BEER",37.71,23.42,24.40,4.2,37.9,35.3,2.6,"ABSORB",37.71
"Extreme (+75%)",9.63,7.35,"BEER-001074","Demo Beer Product #74","BEER",37.71,23.42,28.30,20.8,37.9,25.0,12.9,"FULL_REPRICE",41.86
"High Stress (+30%)",7.15,5.46,"BEER-001074","Demo Beer Product #74","BEER",37.71,23.42,25.37,8.3,37.9,32.7,5.2,"PARTIAL_PASS_THROUGH",38.88
"Baseline",5.50,4.20,"BEER-001075","Demo Beer Product #75","BEER",36.01,23.78,23.78,0.0,34.0,34.0,0.0,"ABSORB",36.01
"Crisis (+50%)",8.25,6.30,"BEER-001075","Demo Beer Product #75","BEER",36.01,23.78,27.98,17.6,34.0,22.3,11.7,"PARTIAL_PASS_THROUGH",38.53
"Moderate (+15%)",6.33,4.83,"BEER-001075","Demo Beer Product #75","BEER",36.01,23.78,25.04,5.3,34.0,30.5,3.5,"ABSORB",36.01
"Extreme (+75%)",9.63,7.35,"BEER-001075","Demo Beer Product #75","BEER",36.01,23.78,30.08,26.5,34.0,16.5,17.5,"FULL_REPRICE",41.36
"High Stress (+30%)",7.15,5.46,"BEER-001075","Demo Beer Product #75","BEER",36.01,23.78,26.30,10.6,34.0,27.0,7.0,"PARTIAL_PASS_THROUGH",37.52
"Baseline",5.50,4.20,"BEER-001076","Demo Beer Product #76","BEER",37.96,21.81,21.81,0.0,42.6,42.6,0.0,"ABSORB",37.96
"Crisis (+50%)",8.25,6.30,"BEER-001076","Demo Beer Product #76","BEER",37.96,21.81,25.48,16.8,42.6,32.9,9.7,"PARTIAL_PASS_THROUGH",40.16
"Moderate (+15%)",6.33,4.83,"BEER-001076","Demo Beer Product #76","BEER",37.96,21.81,22.91,5.1,42.6,39.6,2.9,"ABSORB",37.96
"Extreme (+75%)",9.63,7.35,"BEER-001076","Demo Beer Product #76","BEER",37.96,21.81,27.32,25.3,42.6,28.0,14.5,"FULL_REPRICE",42.65
"High Stress (+30%)",7.15,5.46,"BEER-001076","Demo Beer Product #76","BEER",37.96,21.81,24.01,10.1,42.6,36.7,5.8,"PARTIAL_PASS_THROUGH",39.28
"Baseline",5.50,4.20,"BEER-001077","Demo Beer Product #77","BEER",34.76,22.61,22.61,0.0,35.0,35.0,0.0,"ABSORB",34.76
"Crisis (+50%)",8.25,6.30,"BEER-001077","Demo Beer Product #77","BEER",34.76,22.61,26.10,15.5,35.0,24.9,10.0,"PARTIAL_PASS_THROUGH",36.86
"Moderate (+15%)",6.33,4.83,"BEER-001077","Demo Beer Product #77","BEER",34.76,22.61,23.66,4.7,35.0,31.9,3.0,"ABSORB",34.76
"Extreme (+75%)",9.63,7.35,"BEER-001077","Demo Beer Product #77","BEER",34.76,22.61,27.85,23.2,35.0,19.9,15.1,"FULL_REPRICE",39.22
"High Stress (+30%)",7.15,5.46,"BEER-001077","Demo Beer Product #77","BEER",34.76,22.61,24.70,9.3,35.0,28.9,6.0,"PARTIAL_PASS_THROUGH",36.02
"Baseline",5.50,4.20,"BEER-001078","Demo Beer Product #78","BEER",33.00,24.24,24.24,0.0,26.6,26.6,0.0,"ABSORB",33.00
"Crisis (+50%)",8.25,6.30,"BEER-001078","Demo Beer Product #78","BEER",33.00,24.24,27.64,14.0,26.6,16.2,10.3,"PARTIAL_PASS_THROUGH",35.04
"Moderate (+15%)",6.33,4.83,"BEER-001078","Demo Beer Product #78","BEER",33.00,24.24,25.26,4.2,26.6,23.4,3.1,"ABSORB",33.00
"Extreme (+75%)",9.63,7.35,"BEER-001078","Demo Beer Product #78","BEER",33.00,24.24,29.35,21.1,26.6,11.1,15.5,"FULL_REPRICE",37.34
"High Stress (+30%)",7.15,5.46,"BEER-001078","Demo Beer Product #78","BEER",33.00,24.24,26.28,8.4,26.6,20.4,6.2,"PARTIAL_PASS_THROUGH",34.23
"Baseline",5.50,4.20,"BEER-001079","Demo Beer Product #79","BEER",37.38,22.88,22.88,0.0,38.8,38.8,0.0,"ABSORB",37.38
"Crisis (+50%)",8.25,6.30,"BEER-001079","Demo Beer Product #79","BEER",37.38,22.88,26.86,17.4,38.8,28.2,10.6,"PARTIAL_PASS_THROUGH",39.77
"Moderate (+15%)",6.33,4.83,"BEER-001079","Demo Beer Product #79","BEER",37.38,22.88,24.08,5.2,38.8,35.6,3.2,"ABSORB",37.38
"Extreme (+75%)",9.63,7.35,"BEER-001079","Demo Beer Product #79","BEER",37.38,22.88,28.85,26.1,38.8,22.8,16.0,"FULL_REPRICE",42.45
"High Stress (+30%)",7.15,5.46,"BEER-001079","Demo Beer Product #79","BEER",37.38,22.88,25.27,10.4,38.8,32.4,6.4,"PARTIAL_PASS_THROUGH",38.81
"Baseline",5.50,4.20,"BEER-001080","Demo Beer Product #80","BEER",32.78,22.70,22.70,0.0,30.8,30.8,0.0,"ABSORB",32.78
"Crisis (+50%)",8.25,6.30,"BEER-001080","Demo Beer Product #80","BEER",32.78,22.70,26.16,15.3,30.8,20.2,10.6,"PARTIAL_PASS_THROUGH",34.86
"Moderate (+15%)",6.33,4.83,"BEER-001080","Demo Beer Product #80","BEER",32.78,22.70,23.74,4.6,30.8,27.6,3.2,"ABSORB",32.78
"Extreme (+75%)",9.63,7.35,"BEER-001080","Demo Beer Product #80","BEER",32.78,22.70,27.90,22.9,30.8,14.9,15.9,"FULL_REPRICE",37.21
"High Stress (+30%)",7.15,5.46,"BEER-001080","Demo Beer Product #80","BEER",32.78,22.70,24.78,9.2,30.8,24.4,6.3,"PARTIAL_PASS_THROUGH",34.03
"Baseline",5.50,4.20,"BEER-001081","Demo Beer Product #81","BEER",38.00,22.94,22.94,0.0,39.6,39.6,0.0,"ABSORB",38.00
"Crisis (+50%)",8.25,6.30,"BEER-001081","Demo Beer Product #81","BEER",38.00,22.94,26.26,14.5,39.6,30.9,8.7,"PARTIAL_PASS_THROUGH",39.99
"Moderate (+15%)",6.33,4.83,"BEER-001081","Demo Beer Product #81","BEER",38.00,22.94,23.94,4.4,39.6,37.0,2.6,"ABSORB",38.00
"Extreme (+75%)",9.63,7.35,"BEER-001081","Demo Beer Product #81","BEER",38.00,22.94,27.93,21.7,39.6,26.5,13.1,"FULL_REPRICE",42.24
"High Stress (+30%)",7.15,5.46,"BEER-001081","Demo Beer Product #81","BEER",38.00,22.94,24.93,8.7,39.6,34.4,5.2,"PARTIAL_PASS_THROUGH",39.20
"Baseline",5.50,4.20,"BEER-001082","Demo Beer Product #82","BEER",36.15,21.72,21.72,0.0,39.9,39.9,0.0,"ABSORB",36.15
"Crisis (+50%)",8.25,6.30,"BEER-001082","Demo Beer Product #82","BEER",36.15,21.72,25.51,17.4,39.9,29.4,10.5,"PARTIAL_PASS_THROUGH",38.42
"Moderate (+15%)",6.33,4.83,"BEER-001082","Demo Beer Product #82","BEER",36.15,21.72,22.86,5.2,39.9,36.8,3.2,"ABSORB",36.15
"Extreme (+75%)",9.63,7.35,"BEER-001082","Demo Beer Product #82","BEER",36.15,21.72,27.40,26.1,39.9,24.2,15.7,"FULL_REPRICE",40.98
"High Stress (+30%)",7.15,5.46,"BEER-001082","Demo Beer Product #82","BEER",36.15,21.72,23.99,10.4,39.9,33.6,6.3,"PARTIAL_PASS_THROUGH",37.51
"Baseline",5.50,4.20,"BEER-001083","Demo Beer Product #83","BEER",35.44,22.46,22.46,0.0,36.6,36.6,0.0,"ABSORB",35.44
"Crisis (+50%)",8.25,6.30,"BEER-001083","Demo Beer Product #83","BEER",35.44,22.46,25.97,15.6,36.6,26.7,9.9,"PARTIAL_PASS_THROUGH",37.55
"Moderate (+15%)",6.33,4.83,"BEER-001083","Demo Beer Product #83","BEER",35.44,22.46,23.52,4.7,36.6,33.6,3.0,"ABSORB",35.44
"Extreme (+75%)",9.63,7.35,"BEER-001083","Demo Beer Product #83","BEER",35.44,22.46,27.73,23.5,36.6,21.8,14.9,"FULL_REPRICE",39.92
"High Stress (+30%)",7.15,5.46,"BEER-001083","Demo Beer Product #83","BEER",35.44,22.46,24.57,9.4,36.6,30.7,5.9,"PARTIAL_PASS_THROUGH",36.70
"Baseline",5.50,4.20,"BEER-001084","Demo Beer Product #84","BEER",33.93,22.43,22.43,0.0,33.9,33.9,0.0,"ABSORB",33.93
"Crisis (+50%)",8.25,6.30,"BEER-001084","Demo Beer Product #84","BEER",33.93,22.43,26.45,17.9,33.9,22.0,11.9,"PARTIAL_PASS_THROUGH",36.34
"Moderate (+15%)",6.33,4.83,"BEER-001084","Demo Beer Product #84","BEER",33.93,22.43,23.64,5.4,33.9,30.3,3.6,"ABSORB",33.93
"Extreme (+75%)",9.63,7.35,"BEER-001084","Demo Beer Product #84","BEER",33.93,22.43,28.47,26.9,33.9,16.1,17.8,"FULL_REPRICE",39.07
"High Stress (+30%)",7.15,5.46,"BEER-001084","Demo Beer Product #84","BEER",33.93,22.43,24.84,10.8,33.9,26.8,7.1,"PARTIAL_PASS_THROUGH",35.38
"Baseline",5.50,4.20,"BEER-001085","Demo Beer Product #85","BEER",33.18,24.43,24.43,0.0,26.4,26.4,0.0,"ABSORB",33.18
"Crisis (+50%)",8.25,6.30,"BEER-001085","Demo Beer Product #85","BEER",33.18,24.43,28.15,15.2,26.4,15.2,11.2,"PARTIAL_PASS_THROUGH",35.41
"Moderate (+15%)",6.33,4.83,"BEER-001085","Demo Beer Product #85","BEER",33.18,24.43,25.55,4.6,26.4,23.0,3.4,"ABSORB",33.18
"Extreme (+75%)",9.63,7.35,"BEER-001085","Demo Beer Product #85","BEER",33.18,24.43,30.01,22.8,26.4,9.5,16.8,"FULL_REPRICE",37.92
"High Stress (+30%)",7.15,5.46,"BEER-001085","Demo Beer Product #85","BEER",33.18,24.43,26.66,9.1,26.4,19.6,6.7,"PARTIAL_PASS_THROUGH",34.52
"Baseline",5.50,4.20,"BEER-001086","Demo Beer Product #86","BEER",33.13,22.15,22.15,0.0,33.1,33.1,0.0,"ABSORB",33.13
"Crisis (+50%)",8.25,6.30,"BEER-001086","Demo Beer Product #86","BEER",33.13,22.15,25.95,17.2,33.1,21.7,11.5,"PARTIAL_PASS_THROUGH",35.41
"Moderate (+15%)",6.33,4.83,"BEER-001086","Demo Beer Product #86","BEER",33.13,22.15,23.30,5.2,33.1,29.7,3.5,"ABSORB",33.13
"Extreme (+75%)",9.63,7.35,"BEER-001086","Demo Beer Product #86","BEER",33.13,22.15,27.86,25.8,33.1,15.9,17.2,"FULL_REPRICE",37.98
"High Stress (+30%)",7.15,5.46,"BEER-001086","Demo Beer Product #86","BEER",33.13,22.15,24.43,10.3,33.1,26.3,6.9,"PARTIAL_PASS_THROUGH",34.50
"Baseline",5.50,4.20,"BEER-001087","Demo Beer Product #87","BEER",36.65,23.73,23.73,0.0,35.2,35.2,0.0,"ABSORB",36.65
"Crisis (+50%)",8.25,6.30,"BEER-001087","Demo Beer Product #87","BEER",36.65,23.73,27.11,14.2,35.2,26.0,9.2,"PARTIAL_PASS_THROUGH",38.68
"Moderate (+15%)",6.33,4.83,"BEER-001087","Demo Beer Product #87","BEER",36.65,23.73,24.75,4.3,35.2,32.5,2.8,"ABSORB",36.65
"Extreme (+75%)",9.63,7.35,"BEER-001087","Demo Beer Product #87","BEER",36.65,23.73,28.80,21.4,35.2,21.4,13.8,"FULL_REPRICE",40.96
"High Stress (+30%)",7.15,5.46,"BEER-001087","Demo Beer Product #87","BEER",36.65,23.73,25.76,8.5,35.2,29.7,5.5,"PARTIAL_PASS_THROUGH",37.87
"Baseline",5.50,4.20,"BEER-001088","Demo Beer Product #88","BEER",33.71,21.35,21.35,0.0,36.7,36.7,0.0,"ABSORB",33.71
"Crisis (+50%)",8.25,6.30,"BEER-001088","Demo Beer Product #88","BEER",33.71,21.35,24.78,16.1,36.7,26.5,10.2,"PARTIAL_PASS_THROUGH",35.77
"Moderate (+15%)",6.33,4.83,"BEER-001088","Demo Beer Product #88","BEER",33.71,21.35,22.38,4.8,36.7,33.6,3.1,"ABSORB",33.71
"Extreme (+75%)",9.63,7.35,"BEER-001088","Demo Beer Product #88","BEER",33.71,21.35,26.50,24.1,36.7,21.4,15.3,"FULL_REPRICE",38.09
"High Stress (+30%)",7.15,5.46,"BEER-001088","Demo Beer Product #88","BEER",33.71,21.35,23.41,9.6,36.7,30.6,6.1,"PARTIAL_PASS_THROUGH",34.94
"Baseline",5.50,4.20,"BEER-001089","Demo Beer Product #89","BEER",36.96,23.49,23.49,0.0,36.5,36.5,0.0,"ABSORB",36.96
"Crisis (+50%)",8.25,6.30,"BEER-001089","Demo Beer Product #89","BEER",36.96,23.49,27.34,16.4,36.5,26.0,10.4,"PARTIAL_PASS_THROUGH",39.27
"Moderate (+15%)",6.33,4.83,"BEER-001089","Demo Beer Product #89","BEER",36.96,23.49,24.65,4.9,36.5,33.3,3.1,"ABSORB",36.96
"Extreme (+75%)",9.63,7.35,"BEER-001089","Demo Beer Product #89","BEER",36.96,23.49,29.27,24.6,36.5,20.8,15.6,"FULL_REPRICE",41.88
"High Stress (+30%)",7.15,5.46,"BEER-001089","Demo Beer Product #89","BEER",36.96,23.49,25.80,9.8,36.5,30.2,6.3,"PARTIAL_PASS_THROUGH",38.35
"Baseline",5.50,4.20,"BEER-001090","Demo Beer Product #90","BEER",33.44,23.07,23.07,0.0,31.0,31.0,0.0,"ABSORB",33.44
"Crisis (+50%)",8.25,6.30,"BEER-001090","Demo Beer Product #90","BEER",33.44,23.07,26.69,15.7,31.0,20.2,10.8,"PARTIAL_PASS_THROUGH",35.61
"Moderate (+15%)",6.33,4.83,"BEER-001090","Demo Beer Product #90","BEER",33.44,23.07,24.16,4.7,31.0,27.7,3.3,"ABSORB",33.44
"Extreme (+75%)",9.63,7.35,"BEER-001090","Demo Beer Product #90","BEER",33.44,23.07,28.51,23.6,31.0,14.7,16.3,"FULL_REPRICE",38.06
"High Stress (+30%)",7.15,5.46,"BEER-001090","Demo Beer Product #90","BEER",33.44,23.07,25.25,9.4,31.0,24.5,6.5,"PARTIAL_PASS_THROUGH",34.74
"Baseline",5.50,4.20,"BEER-001091","Demo Beer Product #91","BEER",37.97,22.31,22.31,0.0,41.2,41.2,0.0,"ABSORB",37.97
"Crisis (+50%)",8.25,6.30,"BEER-001091","Demo Beer Product #91","BEER",37.97,22.31,25.98,16.5,41.2,31.6,9.7,"PARTIAL_PASS_THROUGH",40.17
"Moderate (+15%)",6.33,4.83,"BEER-001091","Demo Beer Product #91","BEER",37.97,22.31,23.42,5.0,41.2,38.3,2.9,"ABSORB",37.97
"Extreme (+75%)",9.63,7.35,"BEER-001091","Demo Beer Product #91","BEER",37.97,22.31,27.82,24.7,41.2,26.7,14.5,"FULL_REPRICE",42.65
"High Stress (+30%)",7.15,5.46,"BEER-001091","Demo Beer Product #91","BEER",37.97,22.31,24.51,9.9,41.2,35.4,5.8,"PARTIAL_PASS_THROUGH",39.29
"Baseline",5.50,4.20,"BEER-001092","Demo Beer Product #92","BEER",37.90,21.99,21.99,0.0,42.0,42.0,0.0,"ABSORB",37.90
"Crisis (+50%)",8.25,6.30,"BEER-001092","Demo Beer Product #92","BEER",37.90,21.99,25.51,16.0,42.0,32.7,9.3,"PARTIAL_PASS_THROUGH",40.01
"Moderate (+15%)",6.33,4.83,"BEER-001092","Demo Beer Product #92","BEER",37.90,21.99,23.05,4.8,42.0,39.2,2.8,"ABSORB",37.90
"Extreme (+75%)",9.63,7.35,"BEER-001092","Demo Beer Product #92","BEER",37.90,21.99,27.27,24.1,42.0,28.0,14.0,"FULL_REPRICE",42.40
"High Stress (+30%)",7.15,5.46,"BEER-001092","Demo Beer Product #92","BEER",37.90,21.99,24.10,9.6,42.0,36.4,5.6,"PARTIAL_PASS_THROUGH",39.17
"Baseline",5.50,4.20,"BEER-001093","Demo Beer Product #93","BEER",33.97,22.88,22.88,0.0,32.6,32.6,0.0,"ABSORB",33.97
"Crisis (+50%)",8.25,6.30,"BEER-001093","Demo Beer Product #93","BEER",33.97,22.88,27.23,19.0,32.6,19.8,12.8,"FULL_REPRICE",37.66
"Moderate (+15%)",6.33,4.83,"BEER-001093","Demo Beer Product #93","BEER",33.97,22.88,24.19,5.7,32.6,28.8,3.9,"ABSORB",33.97
"Extreme (+75%)",9.63,7.35,"BEER-001093","Demo Beer Product #93","BEER",33.97,22.88,29.41,28.5,32.6,13.4,19.2,"FULL_REPRICE",39.52
"High Stress (+30%)",7.15,5.46,"BEER-001093","Demo Beer Product #93","BEER",33.97,22.88,25.49,11.4,32.6,25.0,7.7,"PARTIAL_PASS_THROUGH",35.53
"Baseline",5.50,4.20,"BEER-001094","Demo Beer Product #94","BEER",32.81,25.11,25.11,0.0,23.5,23.5,0.0,"ABSORB",32.81
"Crisis (+50%)",8.25,6.30,"BEER-001094","Demo Beer Product #94","BEER",32.81,25.11,29.08,15.8,23.5,11.4,12.1,"PARTIAL_PASS_THROUGH",35.20
"Moderate (+15%)",6.33,4.83,"BEER-001094","Demo Beer Product #94","BEER",32.81,25.11,26.30,4.8,23.5,19.8,3.7,"ABSORB",32.81
"Extreme (+75%)",9.63,7.35,"BEER-001094","Demo Beer Product #94","BEER",32.81,25.11,31.08,23.8,23.5,5.3,18.2,"FULL_REPRICE",37.89
"High Stress (+30%)",7.15,5.46,"BEER-001094","Demo Beer Product #94","BEER",32.81,25.11,27.49,9.5,23.5,16.2,7.3,"PARTIAL_PASS_THROUGH",34.24
"Baseline",5.50,4.20,"BEER-001095","Demo Beer Product #95","BEER",33.82,21.45,21.45,0.0,36.6,36.6,0.0,"ABSORB",33.82
"Crisis (+50%)",8.25,6.30,"BEER-001095","Demo Beer Product #95","BEER",33.82,21.45,24.94,16.3,36.6,26.3,10.3,"PARTIAL_PASS_THROUGH",35.92
"Moderate (+15%)",6.33,4.83,"BEER-001095","Demo Beer Product #95","BEER",33.82,21.45,22.50,4.9,36.6,33.5,3.1,"ABSORB",33.82
"Extreme (+75%)",9.63,7.35,"BEER-001095","Demo Beer Product #95","BEER",33.82,21.45,26.69,24.5,36.6,21.1,15.5,"FULL_REPRICE",38.28
"High Stress (+30%)",7.15,5.46,"BEER-001095","Demo Beer Product #95","BEER",33.82,21.45,23.54,9.8,36.6,30.4,6.2,"PARTIAL_PASS_THROUGH",35.08
"Baseline",5.50,4.20,"BEER-001096","Demo Beer Product #96","BEER",35.75,23.48,23.48,0.0,34.3,34.3,0.0,"ABSORB",35.75
"Crisis (+50%)",8.25,6.30,"BEER-001096","Demo Beer Product #96","BEER",35.75,23.48,26.75,14.0,34.3,25.2,9.2,"PARTIAL_PASS_THROUGH",37.72
